id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
energy_weapon_mastery,Мастер энергетического оружия,1030,2,1,0,"Глаз ангела был найден в далеком уголке, спрятанный там милосердным Богом в первые мгновения творения. Таким образом, его тайны были раскрыты для невежественных и жестоких, чтобы выпустить ужасный, огненный гнев. Мы скорбим.",Священные тексты Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,Радиоэлектронная борьба,1040,4,2,0,"err. 401 // connection refused [try again?]
err. 401 // connection refused [try again?]
err. 401 // connection refused [try again?]","Celadon Immeasurable, альфа",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,Регулирование нагрева,1060,4,2,0,"ПРЕДУПРЕЖДЕНИЕ: Изменяя эти настройки, пользователь снимает с себя ответственность корпорации 'Три-Тахион' за любые повреждения оборудования, травмы, смерть или другие нераскрытые пространственно-временные эффекты. Вы хотите продолжить?","Корпорация Tri-Tachyon, стандартная лицензия",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,Кибернетическое усиление,1075,4,2,0,Не слушайте этих плаксивых крипто-Luddic на совете по этике; процент отказов далеко не соответствует слухам.,"""Доктор"" Уайатт Сидония (псевдоним), служба перехвата связи",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,Настройка фазовой катушки,1070,4,2,0,"Три-Тахион ежедневно взламывает святое творение, и при каждом осквернении вырисовывается наше полное проклятие. Наш путь — бремя; наш путь - страдание. Мы встретимся с ними с верой в то, что единственное искупление — это окончательный суд.","Лайввелл Коттон, террорист пути Ludduc, проповедь c205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,Специальные модификации,1080,5,,,"Доменщики, о, они рассчитаны на долговечность, это правда. Но из-за их мягкотелости, можно смело сказать, что они действительно боялись довести эти вещи до их предела.","Luna Hexagen, независимый инженер, город Агреус",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,Нейронная связь,1080,5,4,2,Зачем капитану погибать вместе со своим кораблем? Корпорация Tri-Tachyon не тратит впустую лучшие таланты.,"Вице-президент по операциям Нереид Де Йонг на церемонии открытия ""Проект Хекет""",,,,,graphics/icons/skills/neural_link.png,
automated_ships,Автоматизированные корабли,1090,5,4,2,[REDACTED],Гегемония COMSEC,,,,,graphics/icons/skills/automated_ships.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,Перевозка грузов,1500,1,0,,"Вы не можете избежать экономики так же, как не можете избежать гравитации. Она окружает нас, содержит нас, возвышает нас. Она связала галактику воедино однажды и свяжет снова.","Artemisia Sun, c203 Годовой отчет",,,,,graphics/icons/skills/bulk_transport.png,
salvaging,Cбор обломков,1510,1,0,,"Это заставляет меня чувствовать себя очень маленьким, как будто мы паразиты, грабящие города падших ангелов.
Это также делает меня богатым.","Zion Hurst, подмастерье Гильдии мусорщиков Ашера",,,,,graphics/icons/skills/salvaging.png,
field_repairs,Полевой ремонт,1520,1,0,,В радиусе двадцати световых лет нет никого у кого на корпусе не были бы выгравированы скрещенные кости. У нас есть только наше мастерство и все что мы найдем на этом поле обломков чтобы выбраться отсюда.,"Каллисто Ибрагим, журнал экспедиции c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,Экспертиза боеприпасов,1530,3,1,,Слабые боятся духовной мощи машины для убийств. Сильные инстинктивно признают его красоту.,Цитаты из Верховного исполнителя,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,Поляризованная броня,1540,3,1,,"В руководствах перед Коллапсом сказано никогда не делать этого. ... Нет, я не знаю. До сих пор не было никаких проблем.","технический руководитель Каси Теа-Радиатив, скрытое интервью с голокамом",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,Процедуры сдерживания,1550,4,2,,Проверьте каждую печать три раза чтобы Смерть не пришла за вами.,Традиция пилотов,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,Самодельное оборудование,1560,4,2,,Думаю мы оставили запасные части на орбите. Все будет хорошо... [помехи] ... просто смотри.,"звуковая резервная транскрипция Иерихон Уилер руководитель экспедиции ""H""-команда",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,Промышленное планирование,1570,4,2,,Бесплодный но многообещающий мир удачно расположенный для того чтобы стать центром культуры и промышленности Магека. Модели SIE предсказывают огромные инвестиции в эксплуатацию ресурсов от Guayota’s Disk.,"Меморандум о стратегическом развитии Tri-Tachyon до коллапса",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,Заброшенные операции,1590,5,4,2,"Они думают, что мы мусор, старпомы и адмиралы на своих блестящих звездолетах. Они выбросили нас в ту же секунду, как все пошло наперекосяк. Но именно на нас строился Сектор, и именно мы их уничтожим.","анонимный пиратский агитатор, канал наблюдения HEGINT ",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,Восстановление корпуса,1580,5,4,2,Нет такого корпуса который настоящий космонавт не смог бы сделать своим домом.,"Сол Вторая смена ветеран-спасатель",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,Omega EW,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,Гиперпознание,10001,0,,,"Безграничная машина, наделенная всеми данными, каждой человеческой мыслью, чтобы комбинировать и рекомбинировать в бесчисленные варианты. Спросите, и будет получен соответствующий ответ.
И все же я не удовлетворен тем, что быть одураченным доказывает такое грандиозное утверждение.","""Долгая дорога в Галаад"" аноним",,,TRUE,"npc_only, ai_core_only",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,Космические операции,590,5,4,2,Одни и те же звезды видны на небе каждого мира.,Учредительный устав Персианской лиги,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,Наземные операции,600,5,4,2,"Грязь? Я не против. Космонавты всегда говорят о грязи.
Это кровь, которую я терпеть не могу.","Гриффин Свит, пехотинец-наемник",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,Управление колонией,1590,5,4,2,"Там, где есть жизнь, есть престол Божий, и там можно найти все хорошее.",Священные тексты Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,Ударный командир,20,1,0,,Ты полетишь и это будет такой шторм какого они никогда не знали. Ты - молния пришедшая расколоть само небо!,"Наварч Марс Като обращение к экипажам бомбардировщиков Sirocco",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,Специализация дальнего боя,60,3,0,,"Видите это решение для стрельбы? Это заставит защитные алгоритмы слишком остро реагировать в самый неподходящий момент. Загвоздка в том, что они должны это предвидеть.","Старший сержант Камерон Четвертый - Фобос, инструктор, командированный на артиллерийский полигон Коатл",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,Модуляция щита,70,4,0,,Немногие обладают талантом к тому что мне нравится называть ""активной настройкой"". Я нахожу что из музыкантов получаются лучшие офицеры по защитным щитам.,"Ardis Soloman leaked data submitted to COMSEC redaction algorithm",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,Фазовое мастерство,80,4,0,,"Я не вернусь на этот корабль, никогда.","Журнал военного трибунала, [ОТРЕДАКТИРОВАНО], датированный ~c196?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,Проектирование надежности,1530,2,0,,"В конце концов, со временем и радиацией, мое тело умрет. Мои товарищи вернут меня к звездам, которые создали меня, и мой корабль отправится дальше.",Традиция пилотов,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,Оружейные системы,500,1,0,,"Что это остановило заговор Tri-Tach? (Орудия!)
Что там забыл старина Ludd? (Орудия!)
Что у нас есть такого, чего нет у них? (Большие, большие пушки!)", застольная песня военного флота Гегемонии.,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,Вспомогательная поддержка,510,1,0,,Нет резервов? Оглянись! В гражданских доках стоят тысячи космических кораблей а в аркологиях — миллиард граждан. Нам нужно только открыть склады и дать им оружие до того как прибудет вторжение.,Байкал Дауд на обороне Чикомозтока,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,Боевая выносливость,0,1,,,"Благодаря опыту и планированию, опытный офицер способен продлить время боевой эффективности корабля и экипажа в экстремальных условиях боевого развертывания.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,Эксперт по вооружению,10,2,,,Детальное знание эксплуатационных характеристик и протоколов технического обслуживания вооружения может быть применено для достижения повышенных боевых характеристик.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"
"
#defensive_systems,Оборонительные системы,37.5,4,,,Обширные знания о взаимодействии между энергосистемой корабля и его оборонительными системами могут привести к качественному улучшению эксплуатационных характеристик.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,Улучшенные контрмеры,39,4,,,Внимание к деталям и регулярное техническое обслуживание могут позволить различным защитным системам корпуса превосходно выполнять свою роль.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,Уклонение,40,5,,,"Даже если входящего огня нельзя полностью избежать, у пилота часто есть выбор, куда именно будет нанесен урон, что может привести к снижению воздействия урона.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,Командование и контроль,90,1,,,Накопленный с трудом опыт - а также изучение тактических руководств и отчетов о боях - позволяют командиру формулировать и осуществлять более продвинутые боевые планы.,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,Доктрина истребителей,130,3,,,"Авианосцы и истребительные крылья имеют совершенно другой набор требований от обычных кораблей, и опытный командующий флотом может внести решающий вклад, обеспечив надлежащую поддержку.",Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,Командование авианосца,135,3,,,"Истребительные крылья и их экипажи имеют очень специализированные требования, и опытный капитан может внести решающий вклад, обеспечив надлежащую поддержку.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,Командир крыла,140,4,,,"Строгая подготовка, отбор персонала и товарищество, выкованное через трудности, могут превратить разношерстную группу летчиков-истребителей в эффективные силы элитного уровня.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,Модуляция электросети,155,1,,,Профилактическое обслуживание и некоторые корректировки на лету могут значительно увеличить мощность энергосистемы корабля.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,Конструкция загрузки,170,2,,,"Базовые спецификации для загрузки судов, как известно, консервативны, и опытный инженер может подтолкнуть их значительно выше установленных пределов.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,Логистика флота,1560,4,,,"Обеспечение доставки грузов и других материальных средств в нужное место - задача не из легких. Тем не менее, она имеет решающее значение - как для ликвидации чрезвычайных ситуаций, так и для обеспечения бесперебойной повседневной работы.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,Операции восстановления,260,1,,,"Извлечение работающего оборудования или даже полезных запасных частей из-под обломков требует широких технических знаний, осторожности и готовности идти на просчитанный риск.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,Процедуры безопасности,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
